Rk,Player,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
223,Thairo Estrada,28,SFG,96,381,364,43,79,15,2,9,47,2,2,10,76
224,Spencer Horwitz*,26,TOR,97,381,328,46,87,19,0,12,40,0,0,42,70
225,Spencer Torkelson,24,DET,92,381,342,45,75,21,1,10,37,0,0,33,105
226,Anthony Rizzo*,34,NYY,92,375,337,38,77,12,0,8,35,0,0,27,65
227,Starling Marte,35,NYM,94,370,335,46,90,13,3,7,40,16,1,27,81
228,Lenyn Sosa,24,CHW,100,369,351,28,89,13,0,8,35,3,1,12,77
229,Freddy Fermin,29,KCR,111,368,339,40,92,14,0,6,36,2,0,23,66
230,Carlos Correa,29,MIN,86,367,319,55,99,20,2,14,54,0,0,40,61
231,Abraham Toro#,27,OAK,94,364,337,34,81,17,1,6,26,4,2,20,62
232,Miguel Amaya,25,CHC,117,363,328,32,76,13,2,8,47,0,0,23,62
233,Johan Rojas,23,PHI,120,363,338,47,82,12,3,3,32,25,4,13,69
234,Jonny DeLuca,25,TBR,107,362,332,29,72,12,4,6,31,16,6,24,77
235,Brandon Drury,31,LAA,97,360,325,28,55,7,0,4,15,1,0,27,81
236,Willson Contreras,32,STL,84,358,301,48,79,17,0,15,36,4,1,45,96
237,Michael Massey*,26,KCR,100,356,332,45,86,17,2,14,45,1,0,15,56
238,Will Brennan*,26,CLE,114,353,330,37,87,13,2,8,30,4,2,19,48
239,Gabriel Moreno,24,ARI,97,351,305,39,81,18,1,5,45,3,1,41,52
240,Elias Díaz,33,2TM,96,351,325,27,86,20,0,6,39,0,0,20,69
240,Elias Díaz,33,COL,84,327,304,26,82,18,0,5,36,0,0,17,64
240,Elias Díaz,33,SDP,12,24,21,1,4,2,0,1,3,0,0,3,5
241,Mike Tauchman*,33,CHC,109,350,298,50,74,12,1,7,29,6,2,47,70
242,Eloy Jiménez,27,2TM,98,349,324,25,77,14,0,6,23,3,0,22,70
242,Eloy Jiménez,27,CHW,65,249,229,18,55,9,0,5,16,3,0,18,47
242,Eloy Jiménez,27,BAL,33,100,95,7,22,5,0,1,7,0,0,4,23
243,Jake Bauers*,28,MIL,116,346,302,45,60,9,2,12,43,13,1,39,118
244,Jake Cave*,31,COL,123,346,323,42,81,16,5,7,37,5,2,18,98
245,Amed Rosario,28,3TM,103,346,332,29,93,18,3,3,32,13,5,9,73
245,Amed Rosario,28,2TM,27,71,68,7,12,1,0,1,6,4,1,2,25
245,Amed Rosario,28,TBR,76,275,264,22,81,17,3,2,26,9,4,7,48
245,Amed Rosario,28,LAD,5,12,11,1,3,1,0,0,2,1,1,1,2
245,Amed Rosario,28,CIN,22,59,57,6,9,0,0,1,4,3,0,1,23
246,Tyrone Taylor,30,NYM,130,345,319,47,79,22,3,7,35,11,2,19,80
247,Manuel Margot,29,MIN,129,343,315,37,75,17,1,4,31,5,0,21,54
248,Francisco Alvarez,22,NYM,100,342,308,39,73,14,2,11,47,1,1,30,86
249,Travis d'Arnaud,35,ATL,99,341,307,40,73,16,0,15,48,1,0,24,89
250,Tyler Fitzgerald,26,SFG,96,341,314,53,88,19,2,15,34,17,4,22,108
251,TJ Friedl*,28,CIN,85,341,297,35,67,5,1,13,55,9,1,26,52
252,Kyle Tucker*,27,HOU,78,339,277,56,80,13,0,23,49,11,0,56,54
253,Jake Rogers,29,DET,102,337,310,43,61,16,1,10,36,1,0,22,99
254,Miguel Rojas,35,LAD,103,337,307,41,87,21,0,6,36,8,2,23,34
255,Bo Bichette,26,TOR,81,336,311,29,70,16,1,4,31,5,1,20,64
256,James Wood*,21,WSN,79,336,295,43,78,13,4,9,41,14,8,39,97
257,Nick Fortes,27,MIA,110,335,308,28,70,16,0,4,29,0,1,11,41
258,Whit Merrifield,35,2TM,95,335,293,44,65,9,3,4,15,17,3,35,52
258,Whit Merrifield,35,PHI,53,174,156,21,31,4,1,3,11,11,1,15,19
258,Whit Merrifield,35,ATL,42,161,137,23,34,5,2,1,4,6,2,20,33
259,Michael Siani*,24,STL,124,334,298,42,68,7,2,2,20,20,3,21,92
