"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Judge, Aaron",592450,"NYY","SL","Slider",1.3,3,"260",20.7,"56","0.321","0.585","0.402",41.2,33.9,26,"0.262","0.536","0.355",50
"Naylor, Josh",647304,"AZ","SL","Slider",-1.1,-2,"168",16.6,"56","0.196","0.333","0.285",32.7,21.4,24.5,"0.212","0.354","0.282",28.2
"Duran, Jarren",680776,"BOS","SL","Slider",-1.9,-3,"183",13.9,"56","0.204","0.333","0.246",31.4,30.4,32.7,"0.214","0.328","0.248",45.9
"Caratini, Victor",605170,"HOU","FF","4-Seam Fastball",-0.1,0,"199",31.6,"56","0.25","0.354","0.325",12.9,14.3,15.7,"0.259","0.435","0.352",45
"Adames, Willy",642715,"SF","SL","Slider",-0.9,-2,"244",18.6,"56","0.163","0.286","0.255",42.9,42.9,30.4,"0.159","0.305","0.259",36
"Soler, Jorge",624585,"LAA","FF","4-Seam Fastball",0.1,0,"228",21.2,"56","0.26","0.38","0.322",34.5,39.3,26.8,"0.22","0.446","0.325",46.4
"Burger, Jake",669394,"TEX","SI","Sinker",-2,-3,"162",18.5,"56","0.231","0.365","0.288",12.1,14.3,22.9,"0.322","0.538","0.389",59.1
"Simpson, Chandler",802415,"TB","FF","4-Seam Fastball",1.2,2,"149",34.7,"56","0.365","0.423","0.362",1.1,0,0,"0.373","0.435","0.381",13.2
"Kirk, Alejandro",672386,"TOR","SI","Sinker",-0.9,-2,"201",21.8,"56","0.333","0.5","0.373",10.5,5.4,9.4,"0.309","0.516","0.364",64.7
"Bogaerts, Xander",593428,"SD","SI","Sinker",-2.6,-6,"225",19.4,"56","0.226","0.245","0.228",9.9,12.5,21.2,"0.282","0.339","0.293",29.8
"Domínguez, Jasson",691176,"NYY","FF","4-Seam Fastball",0.1,0,"291",31,"55","0.244","0.356","0.34",26.1,32.7,21.4,"0.258","0.331","0.335",51.9
"Bohm, Alec",664761,"PHI","SI","Sinker",-1.1,-2,"177",16.4,"55","0.231","0.462","0.319",4.6,7.3,13.8,"0.326","0.563","0.395",58.3
"Jansen, Danny",643376,"TB","FF","4-Seam Fastball",-1.7,-4,"237",31.3,"55","0.174","0.217","0.258",26,25.5,20.6,"0.176","0.348","0.299",34.4
"Rooker, Brent",667670,"ATH","SL","Slider",2.3,4,"193",15.4,"55","0.32","0.68","0.444",43.1,29.1,24.6,"0.287","0.642","0.417",50
"Garcia, Maikel",672580,"KC","SI","Sinker",1.3,3,"222",19.6,"55","0.388","0.571","0.445",9.3,12.7,15.6,"0.29","0.455","0.36",64.3
"Bart, Joey",663698,"PIT","FF","4-Seam Fastball",1.9,4,"207",28.4,"55","0.333","0.467","0.412",17.6,14.5,16.3,"0.315","0.573","0.434",48.6
"Soler, Jorge",624585,"LAA","SL","Slider",1.1,3,"224",20.8,"55","0.226","0.509","0.337",37.1,29.1,22.9,"0.208","0.436","0.285",43.2
"Wood, James",695578,"WSH","SL","Slider",1.7,4,"221",15.4,"55","0.256","0.488","0.406",37.5,21.8,17.4,"0.317","0.655","0.473",58.1
"Wilson, Jacob",805779,"ATH","SL","Slider",6.5,10,"157",16,"55","0.404","0.75","0.515",13.8,7.3,10.8,"0.342","0.521","0.382",22.4
"Butler, Lawrence",671732,"ATH","CH","Changeup",-2.4,-5,"193",15,"54","0.137","0.216","0.199",45.1,33.3,30.5,"0.149","0.21","0.184",30.3
"McLain, Matt",680574,"CIN","SL","Slider",-0.7,-2,"237",22.1,"54","0.173","0.288","0.217",38.2,35.2,24.1,"0.208","0.32","0.243",27.3
"Vaughn, Andrew",683734,"CWS","FF","4-Seam Fastball",-1.6,-3,"208",27.4,"54","0.216","0.373","0.28",15.5,16.7,13.6,"0.25","0.546","0.353",62.8
"Butler, Lawrence",671732,"ATH","SI","Sinker",1.9,4,"192",15,"54","0.367","0.653","0.457",16.7,22.2,30,"0.252","0.412","0.321",40.5
"Merrill, Jackson",701538,"SD","FF","4-Seam Fastball",-0.7,-1,"185",29.5,"54","0.255","0.319","0.31",27.4,29.6,29.6,"0.263","0.423","0.344",45.2
"Díaz, Elias",553869,"SD","FF","4-Seam Fastball",-1,-2,"226",35.1,"54","0.209","0.326","0.326",37.4,35.2,27.1,"0.17","0.244","0.283",45.8
"Jung, Josh",673962,"TEX","SI","Sinker",0,0,"177",18.2,"54","0.294","0.431","0.336",5.9,14.8,24.2,"0.289","0.432","0.33",41.9
"Henderson, Gunnar",683002,"BAL","SI","Sinker",-0.9,-2,"192",17.4,"54","0.292","0.333","0.341",10.8,13,15.9,"0.29","0.377","0.333",41.5
"Burger, Jake",669394,"TEX","FF","4-Seam Fastball",-2.6,-5,"202",23.1,"54","0.137","0.294","0.213",27.1,33.3,25.7,"0.231","0.516","0.321",58.8
"Betts, Mookie",605141,"LAD","SI","Sinker",1,2,"182",15.8,"54","0.347","0.531","0.407",2.6,7.4,10.8,"0.306","0.455","0.361",37.8
"Riley, Austin",663586,"ATL","SI","Sinker",3,7,"225",16.9,"54","0.388","0.694","0.485",17.8,16.7,19.6,"0.337","0.662","0.465",56.1
"Giménez, Andrés",665926,"TOR","FF","4-Seam Fastball",0.1,0,"260",35.3,"54","0.196","0.413","0.321",27.1,22.2,15.4,"0.227","0.388","0.327",32.4
"Lowe, Nathaniel",663993,"WSH","SI","Sinker",0.4,1,"194",15,"53","0.354","0.458","0.406",14.3,9.4,9.4,"0.311","0.43","0.357",39.5
"Yelich, Christian",592885,"MIL","SL","Slider",0.6,1,"182",15,"53","0.275","0.431","0.336",39.6,39.6,28.8,"0.257","0.454","0.316",53.3
"Suzuki, Seiya",673548,"CHC","SL","Slider",0.6,1,"219",16.7,"53","0.235","0.431","0.301",33.3,24.5,16,"0.197","0.341","0.239",35.9
"Suárez, Eugenio",553993,"AZ","SI","Sinker",0.8,1,"193",15.7,"53","0.283","0.435","0.378",17.2,17,20.9,"0.305","0.534","0.401",54.1
"Soto, Juan",665742,"NYM","SL","Slider",1.4,3,"204",14.2,"53","0.213","0.383","0.304",31.9,28.3,20.5,"0.226","0.361","0.302",50
"Arenado, Nolan",571448,"STL","SI","Sinker",-1.7,-3,"195",18.3,"53","0.28","0.32","0.283",6.3,5.7,10.3,"0.279","0.353","0.288",45.8
"Story, Trevor",596115,"BOS","SI","Sinker",-0.1,0,"192",16.6,"53","0.327","0.469","0.366",16.1,11.3,26.1,"0.353","0.535","0.399",63.6
"Tena, José",677588,"WSH","FF","4-Seam Fastball",-0.1,0,"213",34,"53","0.289","0.422","0.377",13.1,17,13.2,"0.277","0.457","0.365",54.1
"Smith, Cam",701358,"HOU","SI","Sinker",0.1,0,"157",16.6,"53","0.354","0.375","0.378",19.8,13.2,19.4,"0.317","0.403","0.349",51.2
"Moreno, Gabriel",672515,"AZ","FF","4-Seam Fastball",0.7,2,"273",34.8,"53","0.277","0.532","0.381",20.2,18.9,12.8,"0.285","0.581","0.402",51.4
"Gorman, Nolan",669357,"STL","FF","4-Seam Fastball",-1.1,-2,"215",35.2,"53","0.209","0.279","0.292",32.3,28.3,23.8,"0.2","0.376","0.342",51.7
"Pages, Andy",681624,"LAD","SI","Sinker",0.3,1,"208",19,"53","0.239","0.457","0.328",19.8,20.8,18.6,"0.251","0.457","0.342",54.1
"Turner, Trea",607208,"PHI","SL","Slider",1.6,3,"200",15.9,"53","0.265","0.531","0.379",35.4,24.5,16.9,"0.229","0.449","0.317",33.3
"Pederson, Joc",592626,"TEX","FF","4-Seam Fastball",-1.9,-3,"175",29.6,"52","0.152","0.37","0.276",16.7,9.6,11.1,"0.277","0.55","0.39",56.1
"Ohtani, Shohei",660271,"LAD","CH","Changeup",-0.3,-1,"180",13.2,"52","0.149","0.319","0.244",41.3,34.6,29.5,"0.238","0.442","0.327",51.7
"Friedl, TJ",670770,"CIN","SI","Sinker",-2.5,-5,"205",16.3,"52","0.182","0.205","0.262",4.2,3.8,7.4,"0.204","0.239","0.262",18.6
"Lukes, Nathan",664770,"TOR","FF","4-Seam Fastball",-1.1,-3,"242",42.5,"52","0.209","0.326","0.29",16.5,15.4,12.3,"0.228","0.305","0.29",35.1
"Ohtani, Shohei",660271,"LAD","SL","Slider",2.4,6,"241",17.7,"52","0.326","0.717","0.468",44.2,25,17.6,"0.333","0.833","0.501",58.8
"Urías, Luis",649966,"ATH","FF","4-Seam Fastball",1.3,3,"213",24.1,"52","0.333","0.458","0.373",11.6,15.4,12.1,"0.246","0.373","0.299",35
"Guerrero Jr., Vladimir",665489,"TOR","SL","Slider",1.8,3,"166",13.7,"52","0.306","0.449","0.366",19,11.5,14.6,"0.346","0.591","0.417",48.8
"Morel, Christopher",666624,"TB","FF","4-Seam Fastball",-0.7,-1,"183",29.2,"52","0.2","0.356","0.298",37.6,36.5,30.6,"0.233","0.594","0.392",57.7
"Bohm, Alec",664761,"PHI","SL","Slider",-0.4,-1,"173",16.1,"52","0.25","0.333","0.32",24.7,17.3,16.1,"0.26","0.417","0.334",41
"Durbin, Caleb",702332,"MIL","SI","Sinker",0.4,1,"171",23.9,"52","0.317","0.415","0.394",7.7,5.8,16.7,"0.244","0.296","0.326",41
"Shaw, Matt",807713,"CHC","FF","4-Seam Fastball",-2.7,-6,"211",31.7,"52","0.106","0.213","0.206",23.1,21.2,15.1,"0.217","0.352","0.287",33.3
"Rodríguez, Julio",677594,"SEA","SL","Slider",-2.4,-4,"165",14.7,"52","0.167","0.229","0.244",33,21.2,26.8,"0.208","0.341","0.284",37.8
"Adames, Willy",642715,"SF","SI","Sinker",0.6,1,"210",16,"52","0.214","0.31","0.336",20.5,19.2,21.3,"0.2","0.279","0.302",25
"Campbell, Kristian",692225,"BOS","SL","Slider",-2,-4,"213",19.9,"52","0.167","0.25","0.22",42.7,30.8,20.5,"0.183","0.283","0.238",31.3
"Semien, Marcus",543760,"TEX","SL","Slider",-1.7,-4,"230",19.2,"52","0.133","0.267","0.226",33.7,26.9,21.5,"0.203","0.345","0.293",37.5
"Crawford, J.P.",641487,"SEA","SI","Sinker",0.5,1,"204",15.8,"52","0.295","0.409","0.361",12.2,9.6,11.6,"0.267","0.372","0.334",35
"Ozuna, Marcell",542303,"ATL","SL","Slider",0.2,1,"247",18.3,"52","0.163","0.395","0.289",38,28.8,17.6,"0.191","0.435","0.298",41.9
"Diaz, Yainer",673237,"HOU","SL","Slider",0.3,1,"188",21.3,"52","0.2","0.32","0.277",28.6,17.3,17,"0.338","0.606","0.411",46.3
"Triolo, Jared",669707,"PIT","FF","4-Seam Fastball",-1.6,-3,"172",32.6,"52","0.217","0.37","0.288",13.7,15.4,15.1,"0.266","0.457","0.339",46.2
"Doyle, Brenton",686668,"COL","SL","Slider",-1.8,-4,"195",19.4,"51","0.196","0.304","0.235",41.9,31.4,24.2,"0.19","0.303","0.236",46.9
"Harris II, Michael",671739,"ATL","SI","Sinker",-3.8,-7,"189",18.3,"51","0.159","0.227","0.227",12,7.8,13.8,"0.249","0.34","0.303",41.5
"Arenado, Nolan",571448,"STL","SL","Slider",-0.6,-1,"210",19.7,"51","0.19","0.381","0.308",32,17.6,14.3,"0.203","0.361","0.31",32.4
