"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Caratini, Victor","605170","183","16",32.2,"110.1","88.8","99.8","92.2","86.3","423","179","384","72",40.2,"17",9.3,7.1
"Barger, Addison","680718","183","12.1",35.5,"116.5","93.1","104.7","97.1","92","448","174","406","97",53.3,"26",14.2,9.6
"Urías, Ramón","602104","183","12.3",31.7,"109.4","88.9","99","94.2","84.9","410","154","372","70",38.5,"12",6.6,4.7
"Norby, Connor","681393","182","15.5",41.8,"108.2","88.2","98.7","94.1","81.6","415","178","394","68",37.4,"17",9.3,6.2
"Walls, Taylor","670764","182","15.7",32.4,"103.4","86.9","96","89.6","84.5","397","170","384","48",26.7,"5",2.7,1.9
"Soler, Jorge","624585","181","13.8",32,"112.7","89.6","101.6","94.4","87.6","448","165","402","74",41.1,"23",12.7,7.6
"Robert Jr., Luis","673357","180","20.1",34.4,"115.8","90.2","101.6","94.6","88.5","441","178","388","77",42.8,"21",11.7,6.8
"McNeil, Jeff","643446","178","15.2",38.2,"107.1","86.7","97.3","89.6","85","420","174","389","56",31.6,"10",5.6,4.3
"Cronenworth, Jake","630105","177","16.3",28.2,"109.1","88.9","99.7","92.4","86.9","435","169","398","68",38.6,"13",7.3,4.7
"Young, Jacob","696285","177","2.3",20.9,"106.8","87","97.7","89.6","86.3","379","106",,"53",30.1,"3",1.7,1.3
"Vientos, Mark","668901","175","11.2",33.1,"110.4","90.9","101.2","94.8","87","403","161","371","83",47.4,"13",7.4,5
"Bader, Harrison","664056","174","11.4",29.9,"112.3","86.4","100.4","93.9","82.7","446","154","394","68",39.3,"21",12.1,7.8
"Moniak, Mickey","666160","174","16.1",35.6,"111.8","89.6","101.2","94.2","82.7","452","192","401","79",46.2,"21",12.1,8.3
"Giménez, Andrés","665926","174","8.4",33.9,"105.9","86.4","96.7","90.6","82.4","408","151","390","49",28.2,"6",3.4,2.5
