"id","name","api_pitch_type_group03","bbe","gb_rate","air_rate","fb_rate","ld_rate","pu_rate","pull_rate","straight_rate","oppo_rate","pull_gb_rate","straight_gb_rate","oppo_gb_rate","pull_air_rate","straight_air_rate","oppo_air_rate"
656811,"O'Hearn, Ryan","SL",8,0.5,0.5,0.125,0.25,0.125,0.375,0.375,0.25,0.125,0.25,0.125,0.25,0.125,0.125
663457,"Nootbaar, Lars","ST",5,0.4,0.6000000000000001,0.2,0.4,0,0,1,0,0,0.4,0,0,0.6,0
624424,"Conforto, Michael","ST",6,0.5,0.5,0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0,0.3333333333333333,0,0.16666666666666666
682998,"Carroll, Corbin","FF",29,0.20689655172413793,0.7931034482758621,0.41379310344827586,0.20689655172413793,0.1724137931034483,0.13793103448275862,0.4827586206896552,0.3793103448275862,0.034482758620689655,0.13793103448275862,0.034482758620689655,0.10344827586206896,0.3448275862068966,0.3448275862068965
672284,"Kelenic, Jarred","SL",6,0,1,0.6666666666666666,0.3333333333333333,0,0.5,0.3333333333333333,0.16666666666666666,0,0,0,0.5,0.3333333333333333,0.16666666666666666
682985,"Greene, Riley","FC",10,0.3,0.7000000000000001,0.4,0.2,0.1,0.2,0.4,0.4,0.2,0.1,0,0,0.30000000000000004,0.4
680776,"Duran, Jarren","SI",41,0.7560975609756098,0.24390243902439024,0.07317073170731707,0.17073170731707318,0,0.24390243902439024,0.4634146341463415,0.2926829268292683,0.21951219512195122,0.34146341463414637,0.1951219512195122,0.02439024390243902,0.12195121951219512,0.09756097560975607
671732,"Butler, Lawrence","CH",1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
518692,"Freeman, Freddie","FO",1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
662139,"Varsho, Daulton","FF",16,0.3125,0.6875,0.3125,0.0625,0.3125,0.4375,0.25,0.3125,0.1875,0.0625,0.0625,0.25,0.1875,0.25
682985,"Greene, Riley","CH",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
669016,"Marsh, Brandon","ST",5,0.4,0.6000000000000001,0.4,0,0.2,0.4,0.4,0.2,0.4,0,0,0,0.4,0.2
641487,"Crawford, J.P.","CU",4,0.5,0.5,0.25,0,0.25,0.5,0.25,0.25,0.25,0.25,0,0.25,0,0.25
682998,"Carroll, Corbin","FC",5,0.8,0.2,0.2,0,0,0.2,0.8,0,0.2,0.6,0,0,0.20000000000000007,0
641343,"Bauers, Jake","FS",1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
607043,"Nimmo, Brandon","CU",5,0.2,0.8,0,0.6,0.2,0.6,0.2,0.2,0,0.2,0,0.6,0,0.2
690993,"Keith, Colt","ST",7,0.2857142857142857,0.7142857142857142,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285
683737,"Busch, Michael","FC",4,0,1,0.5,0.5,0,0.25,0.5,0.25,0,0,0,0.25,0.5,0.25
668942,"Rojas, Josh","FF",8,0.375,0.625,0.25,0.25,0.125,0.25,0.375,0.375,0.25,0.125,0,0,0.25,0.375
641584,"Fraley, Jake","FC",4,0.25,0.75,0.5,0.25,0,0.5,0.5,0,0.25,0,0,0.25,0.5,0
671277,"García Jr., Luis","FS",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
670770,"Friedl, TJ","SI",18,0.6666666666666666,0.33333333333333337,0.05555555555555555,0.2777777777777778,0,0.6111111111111112,0.1111111111111111,0.2777777777777778,0.5,0.1111111111111111,0.05555555555555555,0.11111111111111116,0,0.22222222222222224
676475,"Burleson, Alec","CU",4,0.5,0.5,0,0.5,0,0.5,0.25,0.25,0.25,0,0.25,0.25,0.25,0
